Week_Date,XAU_USD,WTI_USD,USD_JPY,CNY_USD
2020-11-01,"1,891.69",36.13,104.84,0.1494
2020-10-25,"1,877.95",35.92,104.64,0.1494
2020-10-18,"1,900.79",39.8,104.69,0.1495
2020-10-11,"1,898.97",41.01,105.4,0.1493
2020-10-04,"1,929.43",40.8,105.59,0.1493
2020-09-27,"1,898.70",37.2,105.33,0.1472
2020-09-20,"1,860.05",40.16,105.6,0.1465
2020-09-13,"1,949.69",41.19,104.55,0.1477
2020-09-06,"1,941.50",24.88,106.14,0.1463
2020-08-30,"1,932.45",25.22,106.23,0.1461
2020-08-23,"1,964.49",26.14,105.34,0.1456
2020-08-16,"1,939.40",24.62,105.78,0.1445
2020-08-09,"1,943.76",23.76,106.59,0.1439
2020-08-02,"2,034.62",22.42,105.91,0.1435
2020-07-26,"1,974.69",20.9,105.88,0.1434
2020-07-19,"1,901.46",20.27,106.14,0.1425
2020-07-12,"1,809.90",19.14,107,0.143
2020-07-05,"1,798.90",18.37,106.9,0.1428
2020-06-28,"1,775.05",17.38,107.51,0.1415
2020-06-21,"1,771.47",15.87,107.22,0.1413
2020-06-14,"1,743.61",15.61,106.89,0.1414
2020-06-07,"1,730.80",14.12,107.36,0.1412
2020-05-31,"1,685.83",14.33,109.59,0.1412
2020-05-24,"1,728.30",12.67,107.79,0.1401
2020-05-17,"1,736.07",11.63,107.63,0.1402
2020-05-10,"1,743.00",10.17,107.04,0.1408
2020-05-03,"1,702.65",9.61,106.67,0.1414
2020-04-26,"1,700.41",8.31,106.94,0.1416
2020-04-19,"1,729.43",7.99,107.51,0.1412
2020-04-12,"1,684.69",18.16,107.53,0.1414
2020-04-05,"1,689.90",23.05,108.47,0.1421
2020-03-29,"1,618.45",28.5,108.46,0.141
2020-03-22,"1,623.50",21.53,107.9,0.1409
2020-03-15,"1,498.24",23.2,110.82,0.1409
2020-03-08,"1,529.70",32.98,107.92,0.1427
2020-03-01,"1,674.23",41.53,105.31,0.1442
2020-02-23,"1,585.13",45.13,108.08,0.143
2020-02-16,"1,643.70",53.22,111.58,0.1423
2020-02-09,"1,584.70",52.2,109.75,0.1431
2020-02-02,"1,570.29",50.34,109.73,0.1429
2020-01-26,"1,590.20",51.57,108.39,0.1442
2020-01-19,"1,570.65",54.13,109.28,0.1442
2020-01-12,"1,556.61",58.77,110.16,0.1458
2020-01-05,"1,562.28",59.17,109.47,0.1446
2019-12-29,"1,551.65",63.1,108.09,0.1436
2019-12-22,"1,510.67",61.74,109.42,0.1429
2019-12-15,"1,478.20",60.44,109.44,0.1427
2019-12-08,"1,475.81",59.78,109.38,0.1431
2019-12-01,"1,459.76",59.11,108.61,0.1421
2019-11-24,"1,464.80",55.36,109.52,0.1422
2019-11-17,"1,462.29",57.84,108.66,0.1421
2019-11-10,"1,467.37",57.86,108.75,0.1427